event_region_id,region,region_label,year,start_date,end_date,duration_days,deaths,total_affected,precip_mm,severity_score,severity_tier,split,event_inventory_source,era5_summary_status,era5_window_mean_hourly_precip_mm,era5_window_max_t2m_c
east_africa_nile_headwaters__DFO_1772,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2001,2001-08-06,2001-09-13,39,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_1820,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2001,2001-11-01,2001-11-14,14,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_1907,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2002,2002-04-16,2002-04-21,6,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_1917,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2002,2002-04-26,2002-05-28,33,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_2161,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2003,2003-01-15,2003-07-01,168,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_2224,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2003,2003-05-04,2003-05-20,17,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_2430,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2004,2004-02-01,2004-06-02,123,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_2638,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2005,2005-03-01,2005-04-01,32,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_2649,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2005,2005-04-23,2005-06-14,53,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_2952,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2006,2006-08-12,2006-08-21,10,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3078,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2007,2007-05-15,2007-06-14,31,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3123,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2007,2007-07-03,2007-10-08,98,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3146,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2007,2007-07-29,2007-10-05,69,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3170,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2007,2007-08-15,2007-10-31,78,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3235,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2007,2007-11-21,2007-12-16,26,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3272,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2008,2008-02-09,2008-05-01,83,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3287,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2008,2008-03-20,2008-04-02,14,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3367,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2008,2008-08-20,2008-08-28,9,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3394,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2008,2008-10-14,2008-10-16,3,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3404,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2008,2008-11-16,2008-11-20,5,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3714,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2010,2010-08-15,2010-09-17,34,,,232.6728057861328,2.3267280578613283,moderate,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,ok,0.2019729167222976,29.45123291015625
east_africa_nile_headwaters__DFO_3863,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2011,2011-08-20,2011-09-08,20,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3874,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2011,2011-11-09,2011-11-15,7,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3875,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2011,2011-11-09,2011-12-20,42,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3881,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2011,2011-11-29,2011-12-22,24,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3886,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2011,2011-12-20,2011-12-22,3,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3917,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2012,2012-04-09,2012-04-26,18,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3981,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2012,2012-08-15,2012-09-07,24,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3980,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2012,2012-08-20,2012-09-07,19,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3991,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2012,2012-09-07,2012-10-03,27,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_3992,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2012,2012-09-22,2012-10-03,12,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_4022,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2013,2013-01-13,2013-01-17,5,,,20.217060089111328,0.20217060089111327,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,ok,0.0443356595933437,33.6053466796875
east_africa_nile_headwaters__DFO_4055,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2013,2013-05-01,2013-05-16,16,,,101.20343780517578,1.0120343780517578,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,ok,0.1405603289604187,32.552337646484375
east_africa_nile_headwaters__DFO_4094,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2013,2013-10-08,2013-10-14,7,,,75.01950073242188,0.7501950073242187,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,ok,0.148848220705986,30.979888916015625
east_africa_nile_headwaters__DFO_4137,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2014,2014-04-18,2014-05-01,14,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_4140,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2014,2014-05-10,2014-05-16,7,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_4186,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2014,2014-09-21,2014-10-11,21,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_4201,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2014,2014-10-24,2014-11-16,24,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_4305,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2015,2015-10-24,2015-10-28,5,,,98.24163055419922,0.9824163055419922,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,ok,0.2154421657323837,30.55010986328125
east_africa_nile_headwaters__DFO_4317,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2015,2015-12-01,2016-01-06,37,,,88.70148468017578,0.8870148468017578,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,ok,0.0972604006528854,31.276611328125
east_africa_nile_headwaters__DFO_4324,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2016,2016-01-14,2016-01-29,16,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_4357,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2016,2016-04-22,2016-05-30,39,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_4369,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2016,2016-06-30,2016-07-06,7,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_4472,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2017,2017-05-08,2017-05-15,8,,,,0.0,low,train,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,no local ERA5 files for event window,,
east_africa_nile_headwaters__DFO_4603,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2018,2018-04-23,2018-04-25,3,,,80.90074157714844,0.8090074157714844,low,val,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,ok,0.1982861310243606,31.9913330078125
east_africa_nile_headwaters__DFO_4602,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2018,2018-04-28,2018-05-01,4,,,81.20033264160156,0.8120033264160157,low,val,GLOBAL_FLOOD_DB/MODIS_EVENTS/V1,ok,0.1879637390375137,33.072784423828125
east_africa_nile_headwaters__EMDAT_2020-0037-TZA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-01-27,2020-02-03,8,29.0,28258.0,49.46251678466797,57.75262516784667,moderate,test,EM-DAT Public Table,ok,0.0936790108680725,31.997772216796875
east_africa_nile_headwaters__EMDAT_2020-0098-RWA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-03-02,2020-03-10,9,3.0,5242.0,55.659759521484375,8.798597595214845,moderate,test,EM-DAT Public Table,ok,0.1008328944444656,34.3682861328125
east_africa_nile_headwaters__EMDAT_2020-0194-TZA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-03-10,2020-03-17,8,,17500.0,60.793724060058594,18.107937240600585,moderate,test,EM-DAT Public Table,ok,0.1151396259665489,34.3682861328125
east_africa_nile_headwaters__EMDAT_2020-0164-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-04-17,2020-05-05,19,5.0,200.0,153.57626342773438,6.735762634277344,moderate,test,EM-DAT Public Table,ok,0.1939094215631485,32.956268310546875
east_africa_nile_headwaters__EMDAT_2020-0164-KEN,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-04-18,2020-06-01,45,285.0,810655.0,220.31222534179688,1097.8581222534178,extreme,test,EM-DAT Public Table,ok,0.1555877327919006,33.3038330078125
east_africa_nile_headwaters__EMDAT_2020-0159-ETH,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-04-20,2020-05-08,19,12.0,219000.0,152.73086547851562,232.52730865478514,moderate,test,EM-DAT Public Table,ok,0.1928420066833496,33.3038330078125
east_africa_nile_headwaters__EMDAT_2020-0166-TZA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-04-22,2020-04-26,5,2.0,19323.0,99.35037231445312,22.316503723144532,moderate,test,EM-DAT Public Table,ok,0.2178736180067062,32.65460205078125
east_africa_nile_headwaters__EMDAT_2020-0182-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-05-08,2020-05-08,1,3.0,100000.0,56.187347412109375,103.5618734741211,moderate,test,EM-DAT Public Table,ok,0.156075969338417,33.3038330078125
east_africa_nile_headwaters__EMDAT_2020-0213-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-05-21,2020-05-25,5,11.0,25000.0,48.10926818847656,36.48109268188477,moderate,test,EM-DAT Public Table,ok,0.1055027842521667,32.745697021484375
east_africa_nile_headwaters__EMDAT_2020-0305-SDN,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-06-01,2020-09-09,101,155.0,875013.0,492.913330078125,1034.9421333007813,extreme,test,EM-DAT Public Table,ok,0.178591787815094,32.17523193359375
east_africa_nile_headwaters__EMDAT_2020-0564-ETH,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-06-01,2020-09-30,122,,1010854.0,575.2199096679688,1016.6061990966797,extreme,test,EM-DAT Public Table,ok,0.1762315928936004,32.17523193359375
east_africa_nile_headwaters__EMDAT_2020-0362-SSD,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-07-01,2020-12-31,184,,1042000.0,703.1748657226562,1049.0317486572267,extreme,test,EM-DAT Public Table,ok,0.1479745060205459,31.840057373046875
east_africa_nile_headwaters__EMDAT_2020-0385-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-08-19,2020-08-19,1,1.0,4000.0,76.70828247070312,5.767082824707031,moderate,test,EM-DAT Public Table,ok,0.2130785584449768,28.856597900390625
east_africa_nile_headwaters__EMDAT_2020-0458-TZA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-10-13,2020-10-15,3,12.0,,63.28683090209961,12.632868309020996,moderate,test,EM-DAT Public Table,ok,0.1551147848367691,30.6419677734375
east_africa_nile_headwaters__EMDAT_2020-0522-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2020,2020-11-21,2020-11-24,4,7.0,2300.0,43.40948486328125,9.734094848632813,moderate,test,EM-DAT Public Table,ok,0.1004849150776863,31.003631591796875
east_africa_nile_headwaters__EMDAT_2021-0010-TZA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2021,2021-01-12,2021-01-15,4,1.0,2000.0,20.83181381225586,3.2083181381225585,moderate,test,EM-DAT Public Table,ok,0.048221793025732,31.564971923828125
east_africa_nile_headwaters__EMDAT_2021-0227-KEN,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2021,2021-04-07,2021-05-30,54,9.0,300000.0,212.2834625244141,311.12283462524414,moderate,test,EM-DAT Public Table,ok,0.1300756484270095,33.350311279296875
east_africa_nile_headwaters__EMDAT_2021-0343-ETH,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2021,2021-05-01,2021-05-31,31,16.0,,155.94052124023438,17.559405212402343,moderate,test,EM-DAT Public Table,ok,0.1443893760442733,33.348358154296875
east_africa_nile_headwaters__EMDAT_2021-0481-SSD,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2021,2021-05-01,2021-10-07,160,7.0,835000.0,612.0021362304688,848.1200213623047,extreme,test,EM-DAT Public Table,ok,0.1465522348880767,33.348358154296875
east_africa_nile_headwaters__EMDAT_2021-0240-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2021,2021-05-06,2021-05-10,5,1.0,75000.0,102.98307800292967,77.0298307800293,moderate,test,EM-DAT Public Table,ok,0.225840076804161,31.6431884765625
east_africa_nile_headwaters__EMDAT_2021-0286-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2021,2021-05-23,2021-05-23,1,3.0,134.0,21.847511291503903,3.3524751129150387,moderate,test,EM-DAT Public Table,ok,0.060687530785799,32.62835693359375
east_africa_nile_headwaters__EMDAT_2021-0473-SDN,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2021,2021-07-20,2021-09-24,67,52.0,303045.0,326.7052917480469,358.31205291748046,moderate,test,EM-DAT Public Table,ok,0.1680582761764526,31.267730712890625
east_africa_nile_headwaters__EMDAT_2021-0637-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2021,2021-09-17,2021-09-22,6,1.0,42330.0,80.32499694824219,44.13324996948242,moderate,test,EM-DAT Public Table,ok,0.1673437505960464,30.75912475585937
east_africa_nile_headwaters__EMDAT_2022-0053-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2022,2022-01-24,2022-01-27,4,9.0,1500.0,24.150562286376957,10.74150562286377,moderate,test,EM-DAT Public Table,ok,0.0559040792286396,31.76718139648437
east_africa_nile_headwaters__EMDAT_2022-0258-TZA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2022,2022-04-26,2022-05-05,10,10.0,3500.0,88.13172912597656,14.381317291259766,moderate,test,EM-DAT Public Table,ok,0.1530064791440963,33.717529296875
east_africa_nile_headwaters__EMDAT_2022-0445-SDN,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2022,2022-05-10,2022-09-30,144,146.0,349122.0,527.8277587890625,500.4002775878906,extreme,test,EM-DAT Public Table,ok,0.1391950845718383,33.717529296875
east_africa_nile_headwaters__EMDAT_2022-0481-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2022,2022-07-30,2022-08-05,7,32.0,78338.0,105.771240234375,111.39571240234376,moderate,test,EM-DAT Public Table,ok,0.2098635733127594,29.39706420898437
east_africa_nile_headwaters__EMDAT_2022-0650-SSD,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2022,2022-08-01,2022-10-29,90,,1000000.0,399.7760009765625,1003.9977600097657,extreme,test,EM-DAT Public Table,ok,0.1601666659116745,31.45590209960937
east_africa_nile_headwaters__EMDAT_2022-0716-ETH,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2022,2022-08-01,2022-10-31,92,,264831.0,403.5921630859375,268.8669216308594,moderate,test,EM-DAT Public Table,ok,0.1586447209119796,31.45590209960937
east_africa_nile_headwaters__EMDAT_2022-0857-UGA,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2022,2022-12-20,2022-12-26,7,16.0,130.0,32.4671630859375,16.454671630859373,moderate,test,EM-DAT Public Table,ok,0.0644189715385437,30.85165405273437
east_africa_nile_headwaters__EMDAT_2023-0187-ETH,east_africa_nile_headwaters,East Africa: Nile headwaters / Sudan-Ethiopia corridor,2023,2023-03-25,2023-05-12,49,91.0,240000.0,219.70657348632807,333.19706573486326,moderate,test,EM-DAT Public Table,ok,0.1453085839748382,34.055145263671875
